,latin_name,pop_name_pt_br,ID,Rank,Grupo,Classe,Divisão,Ordem,Família,Subfamília,Tribo,Gênero,Espécie,Subespécie,Variedade,Forma,Autor,Registro,Status,Qualificador,Obra Original,Origem,Endêmica,Ocorre no Brasil,Vouchers,Referências,Formas de Vida,Substratos,Distr. Regional,Distr. UF,Dom. Fitogeográfico,Tipo Vegetação,Tem Como Sinônimos,É Sinônimo de,Nomes Vernaculares,Bibliografia,Autoria,Data da Última Atualização,Usuário da Última Atualização,Citação
1,Abutilon megapotamicum,,106884.0,Espécie,Angiospermas,,,,Malvaceae,,,Abutilon,megapotamicum,,,,(Spreng.) A.St.-Hil. & Naudin,Checado,Nome aceito,Nome correto,,Nativa,não é endêmica do Brasil,Sim,"Hoehne, W., s.n., SP, 24454","K. Schumann, Flora Brasiliensis, 400-401, 1891",Arbusto,Terrícola,Sul,RS,Mata Atlântica,Floresta Ombrófila (= Floresta Pluvial),heterotípico Abutilon inflatum,,,,"Esteves, G.,Takeuchi, C.",07/09/2014 17:55,"Esteves, G.","Esteves, G.,Takeuchi, C. 2015. Abutilon in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB106884)"
25,Acalypha reptans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Achillea millefolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Adenium obesum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Aeschynanthus lobianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Agapanthus africanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Alcantarea imperialis,,5899.0,Espécie,Angiospermas,,,,Bromeliaceae,,,Alcantarea,imperialis,,,,(Carriere) Harms,Checado,Nome aceito,Nome correto,,Nativa,é endêmica do Brasil,Sim,"R.C. Forzza, 3202, RB, SP (MG); , K, Typus; Schwacke, 11911, RB","Harms, H., Nat. Pflanzenfam. [Engler & Prantl], , 15a: 126, 1930",Erva,Rupícola,Sudeste,MG; RJ,Mata Atlântica,"Campo de Altitude, Vegetação Sobre Afloramentos Rochosos",heterotípico Tillandsia blokii; heterotípico Vriesea blokii; heterotípico Alcantarea brasiliana; basiônimo Vriesea imperialis,,,"VERSIEUX, L.M. 2009. Sistemática, filogenia e morfologia de Alcantarea (Bromeliaceae). Ph.D. Thesis, Instituto de Biociências, Universidade de São Paulo.","Forzza, R.C.,Costa, A.,Siqueira Filho, J.A.,Martinelli, G.,Monteiro, R.F.,Santos-Silva, F.,Saraiva, D. P.,Paixão-Souza, B.,Louzada, R.B.,Versieux, L.",03/07/2014 17:15,"Forzza, R.C.","Forzza, R.C.,Costa, A.,Siqueira Filho, J.A.,Martinelli, G.,Monteiro, R.F.,Santos-Silva, F.,Saraiva, D. P.,Paixão-Souza, B.,Louzada, R.B.,Versieux, L. 2015. Bromeliaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB5899)"
0,Allamanda cathartica,,4508.0,Espécie,Angiospermas,,,,Apocynaceae,,,Allamanda,cathartica,,,,L.,Checado,Nome aceito,Nome correto,,Nativa,não é endêmica do Brasil,Sim,"A. Ducke, RB, 13318; James L. Zarucchi, 3225, RB, 13318; Kotovski, E.R., s.n., UEC, 13318 (SP)",,Arbusto; Liana/volúvel/trepadeira,Terrícola,"Norte, Nordeste, Centro-Oeste, Sudeste, Sul",AC; AL; AM; AP; BA; CE; ES; GO; MA; MG; MS; MT; PA; PB; PE; PI; PR; RJ; RN; RO; RR; RS; SC; SE; SP; TO,"Amazônia, Cerrado, Mata Atlântica","Área Antrópica, Campo de Várzea, Floresta de Igapó, Floresta Ombrófila (= Floresta Pluvial), Restinga, Savana Amazônica",heterotípico Allamanda aubletii; heterotípico Allamanda cathartica var. grandiflora; heterotípico Allamanda grandiflora; heterotípico Orelia grandiflora; heterotípico Allamanda cathartica var. hendersonii; heterotípico Allamanda hendersonii; heterotípico Allamanda latifolia; heterotípico Allamanda linnaei; heterotípico Echites salicifolius; heterotípico Allamanda wardleyana; heterotípico Allamanda williamsii; heterotípico Echites verticillatus,,dedal-de-princesa; dedal-de-rainha; margarida,,"Koch, I.,Rapini, A.,Simões, A.O.,Kinoshita, L.S.,Spina, A.P.,Castello, A.C.D.",31/07/2014 22:15,"Simões, A.O.","Koch, I.,Rapini, A.,Simões, A.O.,Kinoshita, L.S.,Spina, A.P.,Castello, A.C.D. 2015. Apocynaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB4508)"
44,Alstroemeria x hibrida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Anthurium andraeanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Antirrhinum majus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Argyranthemum frutescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Begonia semperflorens,,5718.0,Espécie,Angiospermas,,,,Begoniaceae,,,Begonia,semperflorens,,,,Link & Otto,Checado,Nome aceito,Nome correto,,Nativa,não é endêmica do Brasil,Sim,"Hatschbach, G., 13885, MBM (PR)",,Erva,Terrícola,Sul,PR; RS; SC,Mata Atlântica,Floresta Ombrófila (= Floresta Pluvial),heterotípico Begonia subcucullata var. arenosicola; heterotípico Begonia cucullata var. hookeri; heterotípico Begonia semperflorens var. hookeri; heterotípico Begonia semperflorens var. sellowii; heterotípico Begonia setaria,,,"Jacques, E.L. 2002. Estudos taxonômicos das espécies brasileiras do gênero Begonia L. (Begoniaceae) com placenta partida. Tese de Doutorado. Universidade de São Paulo. São Paulo.","Jacques, E.L.",26/12/2011 21:11,"Jacques, E.L.","Jacques, E.L. 2015. Begoniaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB5718)"
34,Bellis perennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Bougainvillea spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Brunfelsia uniflora,,14605.0,Espécie,Angiospermas,,,,Solanaceae,,,Brunfelsia,uniflora,,,,(Pohl) D.Don,Checado,Nome aceito,Nome correto,,Nativa,não é endêmica do Brasil,Sim,"Vasconcellos-Neto, J., s.n., UEC, 20995",,Arbusto,Terrícola,"Norte, Nordeste, Centro-Oeste, Sudeste, Sul",AL; BA; CE; ES; GO; MG; PE; PI; PR; RJ; RN; RR; SC; SP,"Amazônia, Caatinga, Cerrado, Mata Atlântica","Floresta Estacional Semidecidual, Floresta Ombrófila (= Floresta Pluvial), Restinga",heterotípico Brunfelsia hopeana,,,,"Stehmann, J.R.,Mentz, L.A.,Agra, M.F.,Vignoli-Silva, M.,Giacomin, L.,Rodrigues, I.M.C.",19/09/2014 18:41,"Stehmann, J.R.","Stehmann, J.R.,Mentz, L.A.,Agra, M.F.,Vignoli-Silva, M.,Giacomin, L.,Rodrigues, I.M.C. 2015. Solanaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB14605)"
53,Calendula officinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Camellia japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Catharanthus roseus,,80256.0,Espécie,Angiospermas,,,,Apocynaceae,,,Catharanthus,roseus,,,,(L.) Don,Checado,Nome aceito,Nome correto,,Cultivada,não é endêmica do Brasil,Sim,,,Erva,Terrícola,"Norte, Nordeste, Centro-Oeste, Sudeste, Sul",AL; AM; BA; CE; DF; ES; GO; MA; MG; MS; MT; PA; PB; PE; PI; PR; RJ; RN; RO; RS; SC; SE; SP; TO,,Área Antrópica,heterotípico Vinca rosea,,Maria sem-vergonha,Gen. Syst. 4: 95 (1836),"Koch, I.,Rapini, A.,Simões, A.O.,Kinoshita, L.S.,Spina, A.P.,Castello, A.C.D.",29/09/2014 20:04,"Koch, I.","Koch, I.,Rapini, A.,Simões, A.O.,Kinoshita, L.S.,Spina, A.P.,Castello, A.C.D. 2015. Apocynaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB80256)"
70,Celosia cristata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Clivia miniata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Commelina erecta,,16912.0,Espécie,Angiospermas,,,,Commelinaceae,,,Commelina,erecta,,,,L.,Checado,Nome aceito,Nome correto,"Linnaeus, C., Sp. Pl., : 41, 1753",Nativa,não é endêmica do Brasil,Sim,"Loefgren, A., CGG1050, SP, 9046 (SP); H. S. Irwin, 25892, NY, 9046 (MG); Luiz José Soares Pinto, 1516, RB, 9046 (RJ)",,Erva,Rupícola; Terrícola,"Norte, Nordeste, Centro-Oeste, Sudeste, Sul",AL; AM; BA; CE; DF; ES; GO; MA; MG; MS; MT; PA; PB; PE; PI; PR; RJ; RN; RO; RS; SC; SE; SP; TO,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal","Área Antrópica, Caatinga (stricto sensu), Campo Limpo, Campo Rupestre, Cerrado (lato sensu), Floresta Estacional Decidual, Floresta Estacional Semidecidual, Floresta Ombrófila (= Floresta Pluvial), Restinga, Vegetação Sobre Afloramentos Rochosos",heterotípico Commelina erecta var. typica; heterotípico Commelina auriculata; heterotípico Commelina deficiens; heterotípico Commelina crispa; heterotípico Commelina angustifolia; heterotípico Commelina virginica var. angustifolia; heterotípico Ananthopus undulatus; heterotípico Commelina aethiopica; heterotípico Commelina bahiensis; heterotípico Commelina bainesii; heterotípico Commelina elegans; heterotípico Commelina elegans var. glabriuscula; heterotípico Commelina elegans var. hirsuta; heterotípico Commelina ensifolia; heterotípico Commelina erecta var. glochidea; heterotípico Commelina erecta var. greenei; heterotípico Commelina gerrardii; heterotípico Commelina guineensis; heterotípico Commelina hirsuta; heterotípico Commelina kurzii var. glochidea; heterotípico Commelina martiana; heterotípico Commelina pohliana; heterotípico Commelina saxicola; heterotípico Commelina setosa; heterotípico Commelina sulcata; heterotípico Commelina undulata var. densivestita; heterotípico Commelina venusta; heterotípico Commelina virginica var. australis; heterotípico Commelina virginica var. massonii; heterotípico Commelina vogelii; heterotípico Commelina erecta var. angustifolia; homotípico Commelina erecta subsp. erecta,,Erva-de-santa-luzia,,"Aona, L.Y.S.,Pellegrini, M.O.O.",24/09/2014 14:41,"Pellegrini, M.O.O.","Aona, L.Y.S.,Pellegrini, M.O.O. 2015. Commelinaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB16912)"
5,Cosmos sulphureus,,16072.0,Espécie,Angiospermas,,,,Asteraceae,,Coreopsideae,Cosmos,sulphureus,,,,Cav.,Checado,Nome aceito,Nome correto,,Naturalizada,não é endêmica do Brasil,Sim,"C. Ferreira, 1042, RB",,Erva,Terrícola,"Norte, Nordeste, Centro-Oeste, Sudeste, Sul",AC; AL; AP; BA; CE; DF; ES; GO; MA; MG; MS; MT; PA; PB; PE; PI; PR; RJ; RN; RO; RR; RS; SC; SE; SP; TO,"Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal",Área Antrópica,,,Cosmo-amarelo,,"Mondin, C.A.",27/09/2014 12:41,"Mondin, C.A.","Mondin, C.A. 2015. Cosmos in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB16072)"
36,Cyclamen persicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Cynoglossum amabile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Dahlia pinnata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Dianthus caryophyllus,,109764.0,Espécie,Angiospermas,,,,Caryophyllaceae,,,Dianthus,caryophyllus,,,,L.,Checado,Nome aceito,Nome correto,,Cultivada,não é endêmica do Brasil,Sim,"G.D. Zanetti, SMDB, 6442 (RS); Mesquita, 8, UB, 6442 (GO); Sotratti, ESA, 6442 (SP)","Sp. Pl., 1:410, 1753",Erva,Terrícola,"Nordeste, Centro-Oeste, Sudeste, Sul",BA; CE; GO; MG; RS; SP,,Área Antrópica,,,cravo; cravo-branco,"Carneiro, C.E. 2004. A família Caryophyllaceae no Brasil. UNESP. Rio Claro, SP. Tese de Doutorado.","Carneiro, C.E.",22/09/2014 22:26,"Carneiro, C.E.","Carneiro, C.E. 2015. Caryophyllaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB109764)"
41,Dietes bicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Echeveria sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Euphorbia milii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Euphorbia pulcherrima,,36072.0,Espécie,Angiospermas,,,,Euphorbiaceae,,,Euphorbia,pulcherrima,,,,Willd. ex Klotzsch,Checado,,,,Nativa,não é endêmica do Brasil,Não ocorre no Brasil,,"Allg. Gartenzeitung (Otto & Dietrich), 2: 27, 1834",,,,,,,heterotípico Poinsettia pulcherrima var. albida; homotípico Poinsettia pulcherrima; heterotípico Pleuradenia coccinea; heterotípico Euphorbia erythrophylla; heterotípico Euphorbia fastuosa; heterotípico Euphorbia coccinea; heterotípico Euphorbia diversifolia,,,,"Steinmann, V.,Caruzo, M.B.R.,O.L.M. Silva,Riina, R.",26/12/2009 02:50,"Steinmann, V.","Steinmann, V.,Caruzo, M.B.R.,O.L.M. Silva,Riina, R. 2015. Euphorbia in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB36072)"
37,Fuchsia sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Gardenia jasminoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Gazania rigens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Gerbera jamesonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Gomphrena globosa,,25100.0,Espécie,Angiospermas,,,,Amaranthaceae,,,Gomphrena,globosa,,,,L.,Checado,Nome aceito,Nome correto,,Naturalizada,não é endêmica do Brasil,Sim,"Siqueira, J.C., 3504, SPF; Furlan, A., 2, SPF","Siqueira, J.C., Pesquisas, Bot., 43: 5-197, 1992",Subarbusto,Terrícola,"Norte, Nordeste, Centro-Oeste, Sudeste, Sul",AC; AM; BA; CE; DF; ES; GO; MA; MG; MS; MT; PA; PB; PE; PI; PR; RJ; RR; RS; SC; SP,"Amazônia, Caatinga, Cerrado, Mata Atlântica","Área Antrópica, Caatinga (stricto sensu), Campinarana, Cerrado (lato sensu)",heterotípico Xeraea globosa; heterotípico Gomphrena rubra; heterotípico Amaranthoides globosus,,,,"Senna, L.,Siqueira, J.C. de,Marchioretto, M.S.",30/09/2014 05:38,"Senna, L.","Senna, L.,Siqueira, J.C. de,Marchioretto, M.S. 2015. Gomphrena in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB25100)"
29,Helianthus annuus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
